COLLECTION_SYSTEM,collection_sys_description,MasterStationID,MasterStationName,CollectionStationName,COMMENTS,SiteType,ANALOG_CHANNEL,STATION_ID,SYSTEM_NAME,DatasetType,MEASURING_DEVICE,DEVICE_TYPE,STATUS,LAT,LON,DataEntryMethod,Telemetry,StationPage,NoOfYears,StartYr,EndYr,TOTAL_RECORDS,TOTAL_NEGATIVE,TOTAL_ZERO,TOTAL_95th,TOTAL_IQR,TOTAL_RoC,TOTAL_REPEATED,TOTAL_IF,TOTAL_RSD,TOTAL_FLAGGED,NEGATIVE_RATIO,ZERO_RATIO,DISCHARGE_RATIO,IQR_RATIO,RoC_RATIO,REPEATED_RATIO,IF_RATIO,RSD_RATIO,TOTAL_IR_RECORDS,TOTAL_IR_NEGATIVE,TOTAL_IR_ZERO,TOTAL_IR_95th,TOTAL_IR_IQR,TOTAL_IR_RoC,TOTAL_IR_REPEATED,TOTAL_IR_IF,TOTAL_IR_RSD,TOTAL_IR_FLAGGED,NEGATIVE_IR_RATIO,ZERO_IR_RATIO,DISCHARGE_IR_RATIO,IQR_IR_RATIO,RoC_IR_RATIO,REPEATED_IR_RATIO,IF_IR_RATIO,RSD_IR_RATIO,TOTAL_NIR_RECORDS,TOTAL_NIR_NEGATIVE,TOTAL_NIR_ZERO,TOTAL_NIR_95th,TOTAL_NIR_IQR,TOTAL_NIR_RoC,TOTAL_NIR_REPEATED,TOTAL_NIR_IF,TOTAL_NIR_RSD,TOTAL_NIR_FLAGGED,NEGATIVE_NIR_RATIO,ZERO_NIR_RATIO,DISCHARGE_NIR_RATIO,IQR_NIR_RATIO,RoC_NIR_RATIO,REPEATED_NIR_RATIO,IF_NIR_RATIO,RSD_NIR_RATIO
UJORDAN             ,Jordan River (Upper),6,07.02 SOUTH JORDAN CANAL (TOTAL)                                                ,B3                                      ,South Jordan Canal                                                                                                                                                                                      ,Conveyance,1.0,6,UTAH LAKE/JORDAN RIVER                                      ,Observational,12-ft Concrete Ramp Flume           ,DIGITAL     ,A,40.46221957,-111.9334146,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=6,75,1951.0,2025.0,15203,0,1801,665,0,0,3018,654,0,5665,0.0,31.79170344218888,11.738746690203,0.0,0.0,53.27449249779347,11.544571932921448,0.0,11902,0,835,665,0,0,1652,264,0,3195,0.0,26.134585289514867,20.81377151799687,0.0,0.0,51.70579029733959,8.262910798122066,0.0,3301,0,966,0,0,0,1366,390,0,2470,0.0,39.10931174089069,0.0,0.0,0.0,55.30364372469636,15.789473684210526,0.0
LOGAN_DL            ,Logan River Dataloggers,18,PROVIDENCE-LOGAN IRRIGATION COMPANY                                             ,PROVIDENCE-LOGAN IRRIGATION COMPANY     ,Radio 301_1 PakBus 1                                                                                                                                                                                    ,Conveyance,1.0,18,LOGAN RIVER                                                 ,Observational,3 foot parshall flume with recorder ,DIGITAL     ,A,41.73946976,-111.8004999,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=18,50,1973.0,2025.0,9545,0,2585,284,2708,0,1487,340,0,4491,0.0,57.559563571587624,6.323758628367846,60.298374526831445,0.0,33.11066577599644,7.570696949454464,0.0,7713,0,974,284,1047,0,1458,160,0,2694,0.0,36.15441722345954,10.541945063103192,38.8641425389755,0.0,54.12026726057907,5.939123979213066,0.0,1832,0,1611,0,1661,0,29,180,0,1797,0.0,89.64941569282136,0.0,92.43183082915971,0.0,1.613800779076238,10.01669449081803,0.0
LOGAN_DL            ,Logan River Dataloggers,19,NORTHWEST FIELD CANAL                                                           ,NORTHWEST FIELD CANAL                   ,Southwest Field calls for tables from Northwest Field Datalogger                                                                                                                                        ,Conveyance,1.0,19,LOGAN RIVER                                                 ,Observational,12 foot ramp flume with recorder    ,DIGITAL     ,A,41.72707435,-111.8436476,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=19,51,1973.0,2024.0,10340,0,2109,378,16,0,565,412,0,3212,0.0,65.66002490660024,11.768368617683686,0.49813200498132004,0.0,17.590286425902864,12.826899128268993,0.0,8486,0,856,377,16,0,535,304,0,1821,0.0,47.00713893465129,20.70291048874245,0.8786381109280615,0.0,29.379461834157055,16.69412410763317,0.0,1854,0,1253,1,0,0,30,108,0,1391,0.0,90.07907979870596,0.07189072609633358,0.0,0.0,2.156721782890007,7.764198418404026,0.0
LBEAR               ,Bear River (Cache),21,BENSON IRRIGATION COMPANY                                                       ,A5                                      ,Benson Irrigation                                                                                                                                                                                       ,Conveyance,1.0,21,LOGAN RIVER                                                 ,Observational,6 foot parshall flume/shaft encodr  ,DIGITAL     ,A,41.7739505,-111.8488765,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=21,52,1973.0,2025.0,10350,0,1170,459,37,12,465,459,6,2179,0.0,53.69435520881139,21.06470858191831,1.698026617714548,0.5507113354749885,21.340064249655804,21.06470858191831,0.27535566773749426,8538,0,641,441,36,11,262,396,6,1387,0.0,46.21485219899063,31.79524152847873,2.595529920692141,0.7930785868781542,18.889689978370583,28.550829127613554,0.43258832011535686,1812,0,529,18,1,1,203,63,0,792,0.0,66.79292929292929,2.272727272727273,0.12626262626262627,0.12626262626262627,25.63131313131313,7.954545454545454,0.0
LOGAN_DL            ,Logan River Dataloggers,26,HYDE PARK AND LOGAN NORTHFIELD                                                  ,HYDE PARK AND LOGAN NORTHFIELD          ,HYDE PARK AND LOGAN NORTHFIELD                                                                                                                                                                          ,Conveyance,1.0,26,LOGAN RIVER                                                 ,Observational,7 foot Parshall Flume with recorder ,,A,41.73154153,-111.8303939,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=26,52,1973.0,2025.0,8992,0,1359,380,24,5,1270,357,0,3081,0.0,44.10905550146057,12.333657903278157,0.7789678675754625,0.16228497241155468,41.220382992534894,11.587147030185005,0.0,7924,0,770,380,24,5,1175,281,0,2329,0.0,33.061399742378704,16.316015457277803,1.03048518677544,0.21468441391155002,50.450837269214254,12.065264061829112,0.0,1068,0,589,0,0,0,95,76,0,752,0.0,78.32446808510637,0.0,0.0,0.0,12.632978723404257,10.106382978723403,0.0
PRICE_DL            ,Price River Dataloggers,29,CARBON CANAL                                                                    ,Carbon Canal                            ,Canal Flume                                                                                                                                                                                             ,Conveyance,1.0,29,PRICE RIVER                                                 ,Observational,10 foot parshall flume              ,DIGITAL     ,A,39.63848205,-110.8616184,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=29,76,1950.0,2025.0,23422,0,3206,993,15,4,6312,1001,3,10647,0.0,30.111768573307035,9.326570865032403,0.14088475626937164,0.03756926833849911,59.2843054381516,9.401709401709402,0.02817695125387433,13586,0,475,993,15,4,2085,838,3,3620,0.0,13.121546961325967,27.430939226519335,0.4143646408839779,0.11049723756906078,57.59668508287292,23.149171270718234,0.08287292817679558,9836,0,2731,0,0,0,4227,163,0,7027,0.0,38.86438024761634,0.0,0.0,0.0,60.153692898818846,2.3196243062473316,0.0
PRICE_DL            ,Price River Dataloggers,30,PRICE-WELLINGTON CANAL                                                          ,Price-Wellington Canal                  ,Price-Wellington Canal                                                                                                                                                                                  ,Conveyance,1.0,30,PRICE RIVER                                                 ,Observational,"10` parshall flume (512299, 4387532)",DIGITAL     ,A,39.63923938,-110.8573614,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=30,76,1950.0,2025.0,21586,0,4418,838,47,11,5940,813,1,11185,0.0,39.499329459097005,7.492177022798391,0.4202056325435852,0.09834599910594546,53.106839517210545,7.268663388466696,0.008940545373267769,13503,0,617,836,46,7,3129,634,1,4517,0.0,13.659508523356209,18.50785919858313,1.0183750276732344,0.15497011290679655,69.27164046933805,14.035864511844146,0.022138587558113793,8083,0,3801,2,1,4,2811,179,0,6668,0.0,57.003599280143966,0.029994001199760045,0.014997000599880022,0.05998800239952009,42.156568686262744,2.6844631073785243,0.0
PRICE_DL            ,Price River Dataloggers,33,BRYNER-PLOUTZ DITCH                                                             ,Bryner-Ploutz Ditch                     ,Bryner-Ploutz Ditch                                                                                                                                                                                     ,Conveyance,7.0,33,PRICE RIVER                                                 ,Observational,Ultrasonic                          ,FLOWMETER   ,A,39.70232676,-110.8662975,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=33,76,1950.0,2025.0,16652,0,6066,485,485,19,6105,530,0,12556,0.0,48.31156419241797,3.8626951258362534,3.8626951258362534,0.15132207709461612,48.62217266645428,4.221089518955081,0.0,12164,0,2378,482,482,19,5509,406,0,8250,0.0,28.824242424242424,5.842424242424243,5.842424242424243,0.2303030303030303,66.77575757575758,4.921212121212122,0.0,4488,0,3688,3,3,0,596,124,0,4306,0.0,85.64793311658151,0.06967022758941013,0.06967022758941013,0.0,13.841151881096145,2.8797027403622852,0.0
PRICE_DL            ,Price River Dataloggers,35,GAY DITCH                                                                       ,Gay Ditch                               ,Gay Ditch                                                                                                                                                                                               ,Conveyance,1.0,35,PRICE RIVER                                                 ,Observational,9 inch parshall flume               ,DIGITAL     ,A,39.67540914,-110.8605209,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=35,76,1950.0,2025.0,15970,0,7791,337,25,0,3443,265,0,11464,0.0,67.96057222609909,2.9396371249127706,0.21807397069085835,0.0,30.03314724354501,2.3115840893230986,0.0,11902,0,4118,337,25,0,3171,242,0,7512,0.0,54.818956336528224,4.48615548455804,0.33280085197018106,0.0,42.21246006389776,3.2215122470713524,0.0,4068,0,3673,0,0,0,272,23,0,3952,0.0,92.94028340080972,0.0,0.0,0.0,6.882591093117409,0.5819838056680162,0.0
PRICE_DL            ,Price River Dataloggers,36,OBERTO DITCH                                                                    ,Oberto Ditch                            ,Radio - ADD: 202 CH: 3                                                                                                                                                                                  ,Conveyance,1.0,36,PRICE RIVER                                                 ,Observational,Greyline Ultrasonic Pipe Meter      ,,A,39.67740238,-110.8602826,Direct,Yes,https://waterrights.utah.gov/cgi-bin/dvrtview.exe?Modinfo=StationView&STATION_ID=36,53,1950.0,2025.0,9719,0,3653,279,200,12,3733,304,0,7616,0.0,47.96481092436975,3.663340336134454,2.6260504201680672,0.15756302521008403,49.01523109243697,3.9915966386554618,0.0,7981,0,2186,279,200,12,3528,287,0,5927,0.0,36.882065125695966,4.707271806984984,3.374388392103931,0.20246330352623587,59.52421123671334,4.8422473426691415,0.0,1738,0,1467,0,0,0,205,17,0,1689,0.0,86.85612788632326,0.0,0.0,0.0,12.137359384251036,1.0065127294256957,0.0
